file_name,x,y,z,rx(deg),ry(deg),rz(deg)
frame_20260429_203730.json,-0.13375,-0.49172,0.47892,0.744845134,179.6795646,2.635605858
frame_20260429_203958.json,-0.14711,-0.5714,0.35507,1.833464944,178.0752827,34.09098881
frame_20260429_204024.json,-0.28149,-0.5138,0.38747,29.16355177,157.735281,16.10011404
frame_20260429_204124.json,-0.1945,-0.4725,0.54743,117.0552775,-124.3891373,-10.31324031
frame_20260429_204146.json,0.01192,-0.5062,0.49456,137.9682371,-92.81916281,-35.58067908
frame_20260429_204223.json,-0.11216,-0.44198,0.50119,55.80608925,-152.807844,1.718873385
frame_20260429_204308.json,-0.11693,-0.28517,0.54762,15.46986047,168.3350002,-14.89690267
frame_20260429_204326.json,-0.13776,-0.18469,0.59108,23.2047907,165.8139859,-29.50732645
frame_20260429_204345.json,-0.18746,-0.25133,0.57151,31.56997451,167.360972,-16.55848028
